new_number,news_text,category,cat-l3
NID_2023-01-21-09_1179,BILDplus Inhalt Irrsinn von der Fechenheimer Wald Klima Chaot mit 300 Tonne Kran festnehmen der 300 Ton Kran pflücken ein Baum Besetzer ca 75 Kilo von der Spitze der Baum Foto Boris Roessler dpa,proteste,proteste
NID_2023-01-21-10_7685,Serie A Juventus Turin wehren er|es|sie weiter gegen 15 Punkt Strafe an der Freitag werden Juventus Turin wegen Bilanzfälschung zu ein üppig Punktestrafe verurteilen jetzt haben der Klub weit rechtlich Schritt ankündigen,sport,sport
NID_2023-01-21-10_1196,BILDplus Inhalt weilen Bonbons zu teuer sein Narr müssen mit Nudeln werfen Corona und Ukraine Krieg bringen der schwäbisch Fasnet durcheinander Foto Michael Hahn,karneval,karneval
NID_2023-01-21-10_5465,London derzeit herrschen Patt bei Krieg in der Ukraine seit Beginn der russisch Angriffskrieg gegen der Ukraine veröffentlichen der britisch Geheimdienst täglich Information zu der Kriegsverlauf aktuell stecken der Kampf offenbar in ein Sackgasse,konflikte,konflikte
NID_2023-01-21-10_5465,London derzeit herrschen Patt bei Krieg in der Ukraine seit Beginn der russisch Angriffskrieg gegen der Ukraine veröffentlichen der britisch Geheimdienst täglich Information zu der Kriegsverlauf aktuell stecken der Kampf offenbar in ein Sackgasse,krieg,krieg
NID_2023-01-21-10_1182,BILDplus Inhalt Marc Terenzi über sein Dschungel Verena ich wollen sie heiraten und Kahn sein auch eingeladen geben es bald der erst ja direkt nach der Dschungelcamp der sagen Marc Terenzi Foto Theo Klein Sven Hoppe dpa,dschungelcamp,fernsehen
NID_2023-01-21-10_2903,Extremwetter in Deutschland auffällig Anomalien geben Anlaß zu der Sorge der Wetterwandel sein dramatisch prognostizi Meteorologe Animation von t online zeigen Deutschland bekommen der Folge schon jetzt zu spüren,panorama,sonstiges
NID_2023-01-21-10_1736,da dürfen sonst kein reinguck Bild schon Taschenkontrolle bei dr Bob was haben dr Bob eigentlich in sein geheim Tasch Bild machen der checken Foto RTL S Thoyah,dschungelcamp,fernsehen
NID_2023-01-21-10_8664,Ukraine Krieg Geflüchteter d Russe gehen es vor alle um Geld zwei Woche nach Kriegsausbruch stehen der russisch Soldat auf sein Hof ein Landwirt aus Cherson berichten über sein Flucht der Zerstörung auf sein Hof und warum er trotz alle weitermachen,politik,politik
NID_2023-01-21-10_2194,der Panzerwende in der Ukraine was kommen als nah Kampfjet warum sein deutsch Kampfpanzer jetzt so dringend und was sein der groß Gefahr dabei,politik,politik
NID_2023-01-21-10_8171,Strack Zimmermann über Leopard 2 Lieferung Deutschland haben leider versagen ein Entscheidung über der Lieferung deutsch Leopard Spitze|Panzer stehen weiter aus der sein ein Katastrophe sagen der Verteidigungspolitikerin,politik,politik
NID_2023-01-21-10_4099,Hipkins sollen nach Ardern Regierung in Neuseeland fahren|führen nach der überraschend Rückzug von Ministerpräsidentin Jacinda Ardern suchen Neuseeland ein Nachfolge für der Amt nun sein ein Kandidat finden,regierung,politik
NID_2023-01-21-10_6650,Panzer Debatte So gereizt sein der Stimmung zwischen der USA und Deutschland in der Panzerstreit um Leopard und Abrams werden Unstimmigkeit zwischen Deutschland und der USA deutlich es sein ein Kommunikation zwischen Partner der irritieren,politik,politik
NID_2023-01-21-10_2985,FC Bayern Manuel neu vs Yann Sommer der Kampf um der Tor haben beginnen Winterneuzugang Yann Sommer haben bei der Topspiel gegen Leipzig sein Debüt für der FC Bayern feiern mit er haben Manuel neu nun ein echt Herausforderer,sport,sport
NID_2023-01-21-10_2386,Dschungelcamp 2023 IBES Star Cosimo Claudia und Gigi knack Rekord Cosimo Claudia und Gigi müssen an der Freitagabend um der Stern kämpfen dabei gelingen der Trio ein Premiere auf der Zuschauer seit mindestens sieben Jahr warten,unterhaltung,unterhaltung
NID_2023-01-21-10_9819,WLAN Router So positionieren Sie|sie er richtig der richtig Standort der WLAN Router können schon dabei helfen der Empfang zu verbessern wir erklären wo Sie|sie der Gerät an der gut positioni und wo nicht,digital,technik
NID_2023-01-21-10_2814,erst atom U Boot weltweit Unbemerkt Ladung mit brisant Auftrag der strategisch Positionierung von Nuklearwaff spielen in der kalt Krieg ein wichtig Rolle ein neuartig U Boot verschieben kurzzeitig der Verhältnis,panorama,sonstiges
NID_2023-01-21-10_6565,One Love Binde bei WM DFB Direktor Rudi Völler kritisieren Innenministerin Faeser an der Freitag werden Rudi Völler als neu Direktor der Nationalmannschaft vorstellen Gleich bei der erst Termin attackieren der 62 Jährige SPD Politikerin Nancy Faeser,sport,sport
NID_2023-01-21-10_1465,Bundesliga Peter Neururer dies Traditionsklub werden der Abstieg nicht entkommen der Bundesliga gehen wieder los besonders spannend sein der Abstiegskampf Fachmann Peter Neururer schätzen der Lage bei der Sorgenkind ein,sport,sport
NID_2023-01-21-10_1180,BILDplus Inhalt Katzenberger Mama werfen Mann Ehebruch vor Affäre mit Dieser Dschungel Begleitung Eifersuchtsdrama hinter der Kulisse der Dschungelcamps Iris Klein packen aus Foto priveten pictuer allianc Geisler Fotopress Agency People Image,dschungelcamp,fernsehen
NID_2023-01-21-10_2454,Ebay Kleinanzeig betrug SM von EbayKA kosten Frau 40 000 Euro ein SMS ein gefakt Telefonat von der Bank und schon sein der Geld weg Ebay warnen vor ein perfiden Betrugsmasche,digital,technik
NID_2023-01-21-10_2404,Dschungelcamp haben zwei Begleitung in der Hotel Versace ein Affäre abseits der Dschungelcamps geben es Drama ein Begleitung werden vorwerfen fremdgegangen zu sein der Streit werden öffentlich austragen,unterhaltung,unterhaltung
NID_2023-01-21-10_7409,Schlagerstar Ella endlich sein zu der erst Mal schwanger und zeigen Babybauch der Schlagerstar verkünden sein erst Schwangerschaft doch Ella endlich müssen ihr Fan auch wenig schön Nachricht mitteilen,unterhaltung,unterhaltung
NID_2023-01-21-10_7405,Schlagerduo Fantasy haben Unfall auf der Autobahn 1 000 Schutzengel haben Freddy März und Martin Hein müssen ein Termin mit Fan kurzfristig absagen ein beunruhigend Zwischenfall verhindern der Weiterfahrt der Fantasy Sänger,unterhaltung,unterhaltung
NID_2023-01-21-10_2385,Dschungelcamp 2023 dies Star müssen der Cam als erst verlassen an der 13 Januar schicken RTL zwölf mehr oder minder bekannt Promis in der Dschungel jetzt ein Woche spät müssen ein von sie der Cam wieder verlassen,unterhaltung,unterhaltung
NID_2023-01-21-10_8668,Ukraine Krieg in der Newsblog ukrainisch Soldat sollen in Polen mit Leopard 2 trainieren Tag 332 seit Kriegsbeginn Selenskyjs Frau drängen auf mehr Friedensbemühung der Niederlande wollen bei der Flugabwehr helfen alle Infos in der Newsblog,politik,politik
NID_2023-01-21-10_9611,Wetter in Deutschland Wintereinbruch hier fallen bis zu 60 Zentimeter Neuschnee nun kommen der Winter doch noch mit voll Wucht an Eisig Kälte glatt Straße und ein Wochenende voll Schnee wo genau zeigen der t online Wetterkart,panorama,sonstiges
NID_2023-01-21-11_5677,Medikamentenengpaß in Deutschland dies Mensch sein besonders davon betreffen der Medikamentenknappheit in Deutschland machen alle Bundesbürger zu schaffen Doch vor alle Mensch auf der Land bekommen der Notsituation zu spüren,gesundheit,gesundheit
NID_2023-01-21-11_6044,nach Ramstein Gipfel Pressestimmen dann werden der Krieg in der Länge ziehen der Ergebnis der Ramstein Konferenz und der ausgeblieben Panzerlieferung haben weltweit der Medienlandschaft beschäftigen ein Überblick auf Reaktion,politik,politik
NID_2023-01-21-11_4683,kein Leopard 2 Panzer für der Ukraine Deutschland Ramstein Blamage d Unmut wachsen der russisch Armee rücken in der Osten der Ukraine langsam vor aber Deutschland zählen erst einmal sein Leopard Panzer ein groß Enttäuschung,politik,politik
NID_2023-01-21-11_6977,Putin Weltuntergangswaffe Unterwasserdrohne Poseidon sollen einsatzbereit sein Mit der Drohne drohen der russisch Propaganda schon lang Bald sollen ein erst Charge ausliefern werden der Kreml verbreitet entsprechend Aufnahme und ein düster Szenario,politik,politik
NID_2023-01-21-11_222,78 Tote Afghanistan leidet unter Kältewelle Extr niedrig Temperatur haben in Afghanistan zu zahlreich Tote führen international Hilfe werden dabei weiter durch ein Arbeitsverbot erschwert,panorama,sonstiges
NID_2023-01-21-11_3014,FDP für Maskenpflicht Aus in Klinik Heimen Praxen verursacht emotionales Leid es sein der endgültige Schritt hin zu der Normalität der liberal wollen der Maskenpflicht bundesweit auch in medizinisch Einrichtung kippen,politik,politik
NID_2023-01-21-11_6056,nach Rücktritt von Jacinda Ardern Nachfolger in Neuseeland finden der neuseeländisch Regierungschefin sein zuletzt überraschend zurücktreten jetzt scheinen ein Nachfolger finden mit schwierig Aussicht,politik,politik
NID_2023-01-21-11_6640,Pakistan importiert wegen Energiekrise Öl aus Rußland in Pakistan haben Gasknappheit und hoch Ölpreise der Inflation zuletzt massiv erhöhen jetzt kaufen der Land der Rohstoff in Rußland ein,politik,politik
NID_2023-01-21-11_2412,Dschungelcamp Tessa packen über Heidi Klum aus Peyman Amin Kritik rechtfertigen Tessa Bergmeier und Papis Loveday rechnen in der Dschungelcamp mit GNTM ab Ex Juror Peyman Amin können ihr Sicht in Bezug auf Heidi Klum nachvollziehen,unterhaltung,unterhaltung
NID_2023-01-21-11_2405,Dschungelcamp nach Papis Loveday der nach IBES Star kippen um der Sorge um Papis Loveday an der Donnerstag sein groß wenig Stunde|Stunden spät treffen es der nah Promi Auch Cecilia Asoro werden mitten in der Nacht bewußtlos,unterhaltung,unterhaltung
NID_2023-01-21-11_6901,Prinzessin Ingrid Alexandra feiern 19 Geburtstag der Palast teilen neu Foto Prinzessin Ingrid Alexandra sein 19 Jahr alt werden der norwegisch Palast teilen zu dies Anlaß Geburtstagsgrüße in der Netz inklusive zweier Foto,unterhaltung,unterhaltung
NID_2023-01-21-11_5484,Louis Klamroth und Luisa Neubau umstrittene Liebe schadet Beziehung der ARD Louis Klamroth sein neu Moderator von hart aber fair und der Partner an der Seite von Luisa Neubau schadet dies Beziehung der Ansehen der ARD,unterhaltung,unterhaltung
NID_2023-01-21-11_8362,Tennis Australian Open Laura Siegemund verpassen Achtelfinale Tennisspielerin Laura Siegemund haben ihr erst Achtelfinal Einzug bei der Australian Open in Melbourne verpassen,sport,sport
NID_2023-01-21-11_7378,scharf Kritik an Putin in der russisch Staat TV ein desaströser Fehler immer öfter hören|anhören man besorgt Stimme|Stimmen in der russisch Staatsmedie doch ein so deutlich Mißbilligung von Putins Kriegsstrategie wie sie nun ein Politiker äußern sein selten,politik,politik
NID_2023-01-21-11_1174,BILDplus Inhalt Dschungel Aus für Verena Kerth Den wollen ich nie wieder sehen Verena Kerth blicken in der Bild Interview auf ihr Zeit in der Dschungelcamp zurück Foto RTL,dschungelcamp,fernsehen
NID_2023-01-21-09_4445,Irrsinn von der Fechenheimer Wald Klima Chaot mit 300 Tonne Kran festnehmen der 300 Ton Kran pflücken ein Baum Besetzer ca 75 Kilo von der Spitze der Baum Foto Boris Roessler dpa,proteste,proteste
NID_2023-01-21-10_5611,Marc Terenzi über sein Dschungel Verena ich wollen sie heiraten und Kahn sein auch eingeladen geben es bald der erst ja direkt nach der Dschungelcamp der sagen Marc Terenzi Foto Theo Klein Sven Hoppe dpa,dschungelcamp,fernsehen
NID_2023-01-21-11_1445,Bundesliga Bayern Coach Julian Nagelsmann kritisieren Joshua Kimmich in der Duell mit Leipzig kassieren der Bayern ein kontrovers Gegentor Bayern Coach Julian Nagelsmann sehen Joshua Kimmich in der Verantwortung,sport,sport
NID_2023-01-21-11_3147,Florian Silbereisen Politiker verklagen Schlagerstar nach ARD Auftritt Florian Silbereisen haben vergangen Samstag in der erst unter ander der Song 1000 und 1 Nacht sungen ein Detail sorgen dabei nun in der Nachhinein für Ärger,unterhaltung,unterhaltung
NID_2023-01-21-11_1019,Bergdoktor kam Sie|sie der Pferdezüchter bekannt vor daher kennen Sie|sie er in der viert Folge der neu Staffel begegnen Bergdoktor Martin Gruber ein Pferdezüchter der Gesicht sein Sie|sie vertraut,unterhaltung,unterhaltung
NID_2023-01-21-11_8359,Tennis Australian Open Laura Siegemund verpassen Achtelfinale als Laura Siegemund nach der hitzig Duell mit ein Turnierfavoritin erhobenen Hauptes der Arena verlassen branden Applaus auf,sport,sport
NID_2023-01-21-11_1437,Bundesliga Abstiegskampf Peter Neururer Da werden ein hau und stechen der Bundesliga gehen wieder los besonders spannend sein der Abstiegskampf Fachmann Peter Neururer schätzen der Lage bei der Sorgenkind ein,sport,sport
NID_2023-01-21-11_128,28 24 gegen HSG FONA darum feiern HSG Eider Harde der erst Derbysieg der Saison der Nachbarschaftsduell ziehen der Masse an der Werner Kuhrt Halle in Hohn platzen aus alle Naht und ein Spielerin avancieren letztlich zu der Matchwinnerin,lokalsportmitte,sport
NID_2023-01-21-12_3807,Grüner Komet C 2022 E3 kommen der Erde immer nah so können Sie|sie er sehen der Komet C 2022 E3 ZTF rast demnächst an der Erde vorbei und lassen er|es|sie vermutlich mit bloß Auge beobachten der sein zuletzt der Neandertaler möglich,digital,technik
NID_2023-01-21-12_2406,Dschungelcamp Pornosucht bis Hitlergruß der groß Skandale aus 19 Jahr IBES Gelästert werden in der Dschungelcamp gerne auch klein Skandale geben es regelmäßig ein Überblick der wild Buschgeschicht,unterhaltung,unterhaltung
NID_2023-01-21-12_729,Australian Open letzt deutsch raus Laura Siegemund scheitern dramatisch bei der erst Grand Slam Turnier der Jahr sein nun kein Spieler und kein Spielerin aus Deutschland mehr vertreten Laura Siegemund erleben ein mitreißend Spiel haben an der Ende aber kein Glück,sport,sport
NID_2023-01-21-12_2391,Dschungelcamp 2023 Verena Kerth müssen als erst der Cam verlassen an der 13 Januar schicken RTL zwölf mehr oder minder bekannt Promis in der Dschungel jetzt ein Woche spät müssen ein von sie der Cam wieder verlassen,unterhaltung,unterhaltung
NID_2023-01-21-12_2399,Dschungelcamp Au für Verena Kerth mit dies Promis sein sie zusammen während Verena Kerth in der Dschungelcamp sitzen drücken ihr Marc Terenzi draußen der Daumen der Sänger sein nicht der erst prominent Partner der Moderatorin,unterhaltung,unterhaltung
NID_2023-01-21-12_2886,Experte fordern Maßnahmenbündel gegen Kindesmissbrauch Alexander Haydn von der Wiener Männerberatung halten hoch Strafe in der Zusammenhang mit Online Mißbrauch von Kind wie sie anläßlich der Fall Teichtmeister nun diskutieren werden als Einzelmaßnahme für nicht sinnvoll er wünschen er|es|sie an der Samstag in der Journal zu Gast der Ö1 Mittagsjournals vielmehr ein Maßnahmenbündel mit mehr Ressource für polizeilich Ermittlung ebenso wie für der Arbeit mit der Täter,missbrauch,kriminalitaet
NID_2023-01-21-12_7382,Schauspielerin Elena Uhlig ich essen gerne und nicht unbedingt gesund Schauspielerin Elena Uhlig machen er|es|sie nicht viel aus Diät und striken Ernährungspläne Ihr|ihr persönlich Wohlfühlgewicht haben sie ganz anders erreichen,unterhaltung,unterhaltung
NID_2023-01-21-13_2400,Dschungelcamp Aus Verena Kerth packen aus Hochzeitsplan mit Marc Terenzi Verena Kerth müssen der Dschungelcamp als erst Kandidatin verlassen mit t online sprechen der Moderatorin nach ihr Exit über ihr Zeit in der Show,unterhaltung,unterhaltung
NID_2023-01-21-13_5303,Leopard 2 Debatte Lambrecht sollen Panzer Zählung untersagen haben warum prüfen Deutschland erst jetzt wie viel Leopard Spitze|Panzer man abgeben können angeblich sollen der Ex Ministerin ein Prüfung verhindern haben,politik,politik
NID_2023-01-21-13_9422,wegen rechtsextrem Demo Türkei laden Schweden Verteidigungsminister wieder aus der Streit zwischen der Türkei und Schweden gehen weiter wegen ein geplant Demonstration haben Ankara ein Ministertreff wieder abgeblasen,politik,politik
